Clause Heading,Clause Content
limitation of liability,"The Sub-Advisor is hereby expressly put on notice of the limitation of shareholder liability as set forth in the Declaration of Trust or other organizational document of the Trust and agrees that any obligations of the Trust or the Portfolio arising in connection with this Agreement shall be limited in all cases to the Portfolio and its assets, and the Sub-Advisor shall not seek satisfaction of any such obligation from the shareholders or any shareholder of the Portfolio. Nor shall the Sub-Advisor seek satisfaction of any such obligation from the Trustees or any individual Trustee."
limitation of liability,"The Japan Sub-Advisor is hereby expressly put on notice of the limitation of shareholder liability as set forth in the Declaration of Trust or other organizational document of the Trust and agrees that any obligations of the Trust or the Portfolio arising in connection with this Agreement shall be limited in all cases to the Portfolio and its assets, and the Japan Sub-Advisor shall not seek satisfaction of any such obligation from the shareholders or any shareholder of the Portfolio. Nor shall the Japan Sub-Advisor seek satisfaction of any such obligation from the Trustees or any individual Trustee."
limitation of liability,"The Sub-Advisor is hereby expressly put on notice of the limitation of shareholder liability as set forth in the Declaration of Trust or other organizational document of the Trust and agrees that any obligations of the Trust or the Portfolio arising in connection with this Agreement shall be limited in all cases to the Portfolio and its assets, and the Sub-Advisor shall not seek satisfaction of any such obligation from the shareholders or any shareholder of the Portfolio. Nor shall the Sub-Advisor seek satisfaction of any such obligation from the Trustees or any individual Trustee."
limitation of liability,"The Sub-Advisor is hereby expressly put on notice of the limitation of shareholder liability as set forth in the Declaration of Trust or other organizational document of the Trust and agrees that any obligations of the Trust or the Portfolio arising in connection with this Agreement shall be limited in all cases to the Portfolio and its assets, and the Sub-Advisor shall not seek satisfaction of any such obligation from the shareholders or any shareholder of the Portfolio. Nor shall the Sub-Advisor seek satisfaction of any such obligation from the Trustees or any individual Trustee."
limitation of liability,"Seller is hereby expressly put on notice that the Declarations of Trust or the Certificates and Agreements of Limited Partnership, as the case may be, of each Participating Fund contain a limitation of liability provision pursuant to which the obligations assumed by such Participating Fund hereunder shall be limited in all cases to such Participating Fund and its assets or, in the case of a series Fund, to the assets of that series only, and neither Seller nor its respective agents or assigns shall seek satisfaction of any such obligation from the officers, employees, agents, directors, trustees, shareholders or partners of any such Participating Fund or series."
limitation of liability,"The Sub-Advisor is hereby expressly put on notice of the limitation of shareholder liability as set forth in the Declaration of Trust or other organizational document of the Trust and agrees that any obligations of the Trust or the Portfolio arising in connection with this Agreement shall be limited in all cases to the Portfolio and its assets, and the Sub-Advisor shall not seek satisfaction of any such obligation from the shareholders or any shareholder of the Portfolio. Nor shall the Sub-Advisor seek satisfaction of any such obligation from the Trustees or any individual Trustee."
limitation of liability,"Repo Custodian and Seller are hereby expressly put on notice of the limitation of liability set forth in the Declarations of Trust and in the Certificates and Agreements of Limited Partnership of the Funds and agree that the obligations assumed by any Fund hereunder shall be limited in all cases to a Fund and its assets or, in the case of a series Fund, to the assets of that series only, and neither Seller, Repo Custodian nor their respective agents or assigns shall seek satisfaction of any such obligation from the officers, agents, employees, directors, trustees, shareholders or partners of any such Fund or series."
limitation of liability,"The Sub-Advisor is hereby expressly put on notice of the limitation of shareholder liability as set forth in the Declaration of Trust or other organizational document of the Trust and agrees that any obligations of the Trust or the Portfolio arising in connection with this Agreement shall be limited in all cases to the Portfolio and its assets, and the Sub-Advisor shall not seek satisfaction of any such obligation from the shareholders or any shareholder of the Portfolio. Nor shall the Sub-Advisor seek satisfaction of any such obligation from the Trustees or any individual Trustee."
limitation of liability,"The Japan Sub-Advisor is hereby expressly put on notice of the limitation of shareholder liability as set forth in the Declaration of Trust or other organizational document of the Trust and agrees that any obligations of the Trust or the Portfolio arising in connection with this Agreement shall be limited in all cases to the Portfolio and its assets, and the Japan Sub-Advisor shall not seek satisfaction of any such obligation from the shareholders or any shareholder of the Portfolio. Nor shall the Japan Sub-Advisor seek satisfaction of any such obligation from the Trustees or any individual Trustee."
limitation of liability,"The Sub-Advisor is hereby expressly put on notice of the limitation of shareholder liability as set forth in the Declaration of Trust or other organizational document of the Trust and agrees that any obligations of the Trust or the Portfolio arising in connection with this Agreement shall be limited in all cases to the Portfolio and its assets, and the Sub-Advisor shall not seek satisfaction of any such obligation from the shareholders or any shareholder of the Portfolio. Nor shall the Sub-Advisor seek satisfaction of any such obligation from the Trustees or any individual Trustee."
limitation of liability,"The Sub-Advisor is hereby expressly put on notice of the limitation of shareholder liability as set forth in the Declaration of Trust or other organizational document of the Trust and agrees that any obligations of the Trust or the Portfolio arising in connection with this Agreement shall be limited in all cases to the Portfolio and its assets, and the Sub-Advisor shall not seek satisfaction of any such obligation from the shareholders or any shareholder of the Portfolio. Nor shall the Sub-Advisor seek satisfaction of any such obligation from the Trustees or any individual Trustee."
limitation of liability,"Repo Custodian and Seller are hereby expressly put on notice of the limitation of liability set forth in the Declarations of Trust and in the Certificates and Agreements of Limited Partnership of the Funds and agree that the obligations assumed by any Fund hereunder shall be limited in all cases to a Fund and its assets or, in the case of a series Fund, to the assets of that series only, and neither Seller, Repo Custodian nor their respective agents or assigns shall seek satisfaction of any such obligation from the officers, agents, employees, directors, trustees, shareholders or partners of any such Fund or series."
limitation of liability,"The Japan Sub-Advisor is hereby expressly put on notice of the limitation of shareholder liability as set forth in the Declaration of Trust or other organizational document of the Trust and agrees that any obligations of the Trust or the Portfolio arising in connection with this Agreement shall be limited in all cases to the Portfolio and its assets, and the Japan Sub-Advisor shall not seek satisfaction of any such obligation from the shareholders or any shareholder of the Portfolio. Nor shall the Japan Sub-Advisor seek satisfaction of any such obligation from the Trustees or any individual Trustee."
limitation of liability,"The Japan Sub-Advisor is hereby expressly put on notice of the limitation of shareholder liability as set forth in the Declaration of Trust or other organizational document of the Trust and agrees that any obligations of the Trust or the Portfolio arising in connection with this Agreement shall be limited in all cases to the Portfolio and its assets, and the Japan Sub-Advisor shall not seek satisfaction of any such obligation from the shareholders or any shareholder of the Portfolio. Nor shall the Japan Sub-Advisor seek satisfaction of any such obligation from the Trustees or any individual Trustee."
limitation of liability,"The Sub-Advisor is hereby expressly put on notice of the limitation of shareholder liability as set forth in the Declaration of Trust or other organizational document of the Trust and agrees that any obligations of the Trust or the Portfolio arising in connection with this Agreement shall be limited in all cases to the Portfolio and its assets, and the Sub-Advisor shall not seek satisfaction of any such obligation from the shareholders or any shareholder of the Portfolio. Nor shall the Sub-Advisor seek satisfaction of any such obligation from the Trustees or any individual Trustee."
limitation of liability,"Seller is hereby expressly put on notice that the Declarations of Trust or the Certificates and Agreements of Limited Partnership, as the case may be, of each Participating Fund contain a limitation of liability provision pursuant to which the obligations assumed by such Participating Fund hereunder shall be limited in all cases to such Participating Fund and its assets or, in the case of a series Fund, to the assets of that series only, and neither Seller nor its respective agents or assigns shall seek satisfaction of any such obligation from the officers, employees, agents, directors, trustees, shareholders or partners of any such Participating Fund or series."
